# 《頑皮小精靈2》譯名表（英文/法文原名<TAB>中文<TAB>說明）
# [HARD] 這張表是全專案唯一基準。翻譯時一律照這裡寫，不要自己另創音譯。
# 一代（《頑皮小精靈》）已確立的名字沿用，來源見 gobliiins-1-cht/docs/softworld-38.md。
#
# 取名原則：**短**。二代最常見的訊息框只容得下 19 個中文字（一行），
# 名字每多一個字，句子就少一個字可用。三字以內優先。
Gobliins	小精靈	一代《軟體世界》38 期的譯法，沿用
Fingus	芬格斯	戴綠帽的那隻，負責動手做事
Winkle	溫可	藍衣那隻，負責搞怪。原名有「眨眼」的意思，取兩字保留輕快感
Amoniak	阿摩尼亞	反派惡魔。原文是法文的「氨」，台灣日常就叫阿摩尼亞，雙關剛好對上
Prince Buffoon	小丑王子	被擄走的王子；Buffoon 是宮廷弄臣
Buffoon	小丑	單獨出現時
Tazaar	塔薩爾	巫師
Vivalzart	維瓦札特	愛聽音樂又失眠的蒼鷺。原名是 Vivaldi＋Mozart 的合體
Schwarzy	阿諾	肌肉守衛，原名玩 Schwarzenegger；台灣就叫阿諾，笑點直接對上
Modemus	摩德姆斯	把兩隻小精靈傳送過去的法師
Kael	凱爾
Stalopicus	史塔洛比庫斯
Oumkapok	翁卡波
Soka	索卡
Blount	布朗特
Angoulafre	安哥拉菲	一代的國王
Niak	尼亞克	一代的巫師
Shadwin	夏德溫	一代的智者
# ── 2026-08-02 翻譯批次回報後補入（多批各自音譯過，以此為準）──
Glotziok	葛洛奇	阿摩尼亞的爪牙之一，愛吃蟑螂
Elixir of kindness	仁慈藥水	貫穿多關的關鍵道具，灌給反派喝的
Notable	鄉紳	村裡握有香腸的地方仕紳
Oto	歐托	鐵匠（矮人）
Rustik	魯斯克
Gromelon	葛羅蒙
Amidal	阿米達
Colibrius	科利比	鍋子裡供工具的小人
Mayor / Maire	村長	與 Notable(鄉紳) 是**兩個不同角色**，別互相收斂
